custa,tipo,valor,data,label
aluguel,apartamento,1400,2024-10,Aluguél
energia,apartamento,109.36,2024-10,Energia
gas,apartamento,100,2024-10,Gás
internet,apartamento,59.99,2024-10,Oi! Fibra
bebidas,lazer,320.6,2024-10,Bebidas/Comidas
ifood,lazer,72.9,2024-10,iFood
assinaturas,outros,88.8,2024-10,Assinaturas
amazon,outros,415.46,2024-10,Mobiliário
magalu,outros,74.99,2024-10,Mobiliário
shoppee,outros,80.74,2024-10,Mobiliário
parcelamento,outros,92,2024-10,Parcelamento Pai
uber,outros,271.84,2024-10,Uber
renda,renda,4000,2024-10,Renda
agua,supermercado,72,2024-10,Água
arcomix,supermercado,1062.04,2024-10,Arco-Mix
atacado,supermercado,573.72,2024-10,Atacado
farmacia,supermercado,110.22,2024-10,Farmácia
aluguel,apartamento,1400,2024-11,Aluguél
energia,apartamento,174.81,2024-11,Energia
gas,apartamento,0,2024-11,Gás
internet,apartamento,59.99,2024-11,Oi! Fibra
bebidas,lazer,456.74,2024-11,Bebidas/Comidas
ifood,lazer,105.8,2024-11,iFood
cinema,lazer,29.64,2024-11,Museu/Cultura/Cinema
assinaturas,outros,88.8,2024-11,Assinaturas
amazon,outros,62.32,2024-11,Mobiliário
ferreira,outros,18,2024-11,Mobiliário
parcelamento,outros,92,2024-11,Parcelamento Pai
uber,outros,344.69,2024-11,Uber
renda,renda,4000,2024-11,Renda
agua,supermercado,48,2024-11,Água
arcomix,supermercado,1016.48,2024-11,Arco-Mix
atacado,supermercado,664.37,2024-11,Atacado
farmacia,supermercado,76.78,2024-11,Farmácia
aluguel,apartamento,1400,2024-12,Aluguél
energia,apartamento,166.65,2024-12,Energia
gas,apartamento,0,2024-12,Gás
internet,apartamento,59.99,2024-12,Oi! Fibra
bebidas,lazer,843.09,2024-12,Bebidas/Comidas
ifood,lazer,158.7,2024-12,iFood
assinaturas,outros,88.8,2024-12,Assinaturas
parcelamento,outros,92,2024-12,Parcelamento Pai
uber,outros,198.4,2024-12,Uber
renda,renda,4000,2024-12,Renda
agua,supermercado,72,2024-12,Água
arcomix,supermercado,683.49,2024-12,Arco-Mix
atacado,supermercado,733.37,2024-12,Atacado
farmacia,supermercado,120.65,2024-12,Farmácia
aluguel,apartamento,1400,2025-01,Aluguél
energia,apartamento,134.5,2025-01,Energia
gas,apartamento,0,2025-01,Gás
internet,apartamento,59.99,2025-01,Oi! Fibra
bebidas,lazer,587.65,2025-01,Bebidas/Comidas
ifood,lazer,79.85,2025-01,iFood
assinaturas,outros,88.8,2025-01,Assinaturas
multicoisas,outros,39.99,2025-01,Multicoisas
parcelamento,outros,92,2025-01,Parcelamento Pai
uber,outros,213.29,2025-01,Uber
renda,renda,4000,2025-01,Renda
agua,supermercado,60,2025-01,Água
arcomix,supermercado,622.09,2025-01,Arco-Mix
atacado,supermercado,744.85,2025-01,Atacado
farmacia,supermercado,108.09,2025-01,Farmácia
aluguel,apartamento,1400,2025-02,Aluguél
energia,apartamento,134.5,2025-02,Energia
gas,apartamento,0,2025-02,Gás
internet,apartamento,59.99,2025-02,Oi! Fibra
bebidas,lazer,670.01,2025-02,Bebidas/Comidas
ifood,lazer,111.75,2025-02,iFood
assinaturas,outros,88.8,2025-02,Assinaturas
governo,outros,47.13,2025-02,Documentos
parcelamento,outros,92,2025-02,Parcelamento Pai
uber,outros,502.1,2025-02,Uber
renda,renda,4627.33,2025-02,Renda
agua,supermercado,48,2025-02,Água
arcomix,supermercado,821.44,2025-02,Arco-Mix
atacado,supermercado,630.6,2025-02,Atacado + Atacado Presente
farmacia,supermercado,55.38,2025-02,Farmácia
supplement,supermercado,107.7,2025-02,Suplementos
aluguel,apartamento,1400,2025-03,Aluguél
energia,apartamento,346.23,2025-03,Energia
gas,apartamento,0,2025-03,Gás
internet,apartamento,59.9,2025-03,Oi! Fibra
bebidas,lazer,697.71,2025-03,Bebidas/Comidas
ifood,lazer,134.32,2025-03,iFood
assinaturas,outros,88.8,2025-03,Assinaturas
governo,outros,263.47,2025-03,Documentos
parcelamento,outros,92,2025-03,Parcelamento Pai
uber,outros,456.92,2025-03,Uber
renda,renda,4639.86,2025-03,Renda
agua,supermercado,84,2025-03,Água
arcomix,supermercado,1043.47,2025-03,Arco-Mix
atacado,supermercado,580.04,2025-03,Atacado
farmacia,supermercado,196.83,2025-03,Farmácia
supplement,supermercado,0,2025-03,Suplementos
